id,name,region,pop,urb,urbpct,rural,ruralpct,gdp,gdppc,esp,elec,forest,forestpct,co2,articles,internet,servers
AGO,Angola,Middle Africa,33428486,22338586,66.825,11089900,33.175,48501561230.001,1450.90511218489,62.261,46.9554443359375,666073.8,53.4269511510388,19814.5,45.41,32.55014678,19.7436401995591
BDI,Burundi,Eastern Africa,12220227,1675149,13.708,10545078,86.292,2649680261.43998,216.827417480869,61.566,9.1,2796.4,10.8894080996885,713.466,33.27,3.787954422,8.42864866585539
BEN,Benin,Western Africa,12643123,6121168,48.415,6521955,51.585,15686741893.5187,1240.73315536982,60.088,40.9859313964844,31351.5,27.8037424618659,7980.4,290.5,28.22915416,17.8753303277996
BFA,Burkina Faso,Western Africa,21522626,6587430,30.607,14935196,69.393,17725010530.7894,823.552410880968,59.731,18.4672794342041,62164,22.7207602339181,5456.7,246.26,13.93797176,5.80784147807986
BWA,Botswana,Southern Africa,2546402,1804813,70.877,741589,29.123,14960291541.176,5875.07060596716,65.647,71.8291244506836,152547,26.9170504473029,5763.687,329.26,72.74801998,243.480801538799
CAF,Central African Republic,Middle Africa,5343020,2254648,42.198,3088372,57.802,2326720900.38047,435.469247800022,54.604,15.4057130813599,223030,35.8005072393977,236.6,17.32,8.565672483,1.12296042313149
CIV,Ivory Coast,Western Africa,26811790,13863304,51.706,12948486,48.294,62982768371.6208,2349.06988200418,59.032,69.8783264160156,28367.1,8.92047169811321,10894.9,241.01,41.3736053,55.6844582178213
CMR,Cameroon,Middle Africa,26491087,15248270,57.56,11242817,42.44,40773241177.0505,1539.13054519245,60.833,64.3118743896484,203404.8,43.02951069366,9928.4,1130.5,45.52922268,16.760354152323
COD,Congo-Kinshasa,Middle Africa,92853164,42376327,45.638,50476837,54.362,48716961860.1325,524.666686211495,59.739,20.0737800598145,1261552.4,55.6473125868419,3025.6,171.76,22.86494849,3.71554382357935
COG,Congo-Brazzaville,Middle Africa,5702174,3867728,67.829,1834446,32.171,11468608530.2038,2011.2694790099,63.785,48.6791305541992,219460,64.2635431918009,7153.9,72.62,,8.06709861887764
COM,Comoros,Eastern Africa,806166,236852,29.38,569314,70.62,1225039195.93742,1519.58677981634,64.166,85.6353454589844,329.2,17.6894142933906,328.2,3.4,21.16321517,9.92351451189954
CPV,Cape Verde,Western Africa,582640,388341,66.652,194299,33.348,1821565613.68613,3126.39985872259,74.808,93.746955871582,457.2,11.3449131513648,620.6,21.5,63.16119125,169.91624330633
DJI,Djibouti,Eastern Africa,1090156,850998,78.062,239158,21.938,3185150981.03207,2921.73870623293,62.694,64.5011520385742,58,0.250215703192407,427.7,8.84,61.26152265,44.9476955591677
DZA,Algeria,Northern Africa,43451666,32038217,73.733,11413449,26.267,145743542982.628,3354.15316371593,74.453,99.7187728881836,19490,0.818308959706366,161563,5689.02,63.94999611,48.467646787122
EGY,Egypt,Northern Africa,107465134,45976808,42.783,61488326,57.217,383817841547.099,3571.5569065135,70.99,100,449.8,0.0451855944547692,210752.3,18469.18,71.91420096,41.9019623611133
ERI,Eritrea,Eastern Africa,3555868,1470245,41.347,2085623,58.653,,,67.133,51.3922996520996,10552.6,8.71821523958664,706.4,37.51,14.17998705,0.843675861983628
ETH,Ethiopia,Eastern Africa,117190911,25424568,21.695,91766343,78.305,107657734392.446,918.652594077418,65.371,51.1445960998535,170685,15.1239895337934,18098,3967.54,16.42294727,5.58063756326632
GAB,Gabon,Middle Africa,2292573,2065425,90.092,227148,9.908,15314577154.8076,6680.08266467748,66.531,91.0628433227539,235306,91.3206814918306,5349.2,60.98,70.78874796,42.7467304203618
GHA,Ghana,Western Africa,32180401,18455138,57.349,13725263,42.651,70043095503.6675,2176.57621804239,64.114,85.4405670166016,79857.1,35.096930994625,19401.16,2106.28,56.68215981,57.3641080482496
GIN,Guinea,Western Africa,13205153,4869400,36.875,8335753,63.125,14177835841.3923,1073.65933900139,59.327,44.7454223632813,61890,25.1872049487221,4537.9,40.7,28.8232306,6.73979317013593
GMB,The Gambia,Western Africa,2573995,1610858,62.582,963137,37.418,1812170891.19069,704.030462837221,62.612,62.234001159668,2426.7,23.9792490118577,611.4,58.19,31.60419095,27.195080021523
GNB,Guinea-Bissau,Western Africa,2015828,890915,44.196,1124913,55.804,1431758231.68522,710.258132978222,59.999,33.3744735717773,19800.1,70.4128733997155,329,14.4,27.90528061,2.97644441886907
GNQ,Equatorial Guinea,Middle Africa,1596049,1166712,73.1,429337,26.9,9893816016.147,6198.94252378655,60.708,66.6791915893555,24484.2,87.2877005347594,4350.4,1.7,53.83614077,29.4477174572961
KEN,Kenya,Eastern Africa,51985780,14553419,27.995,37432361,72.005,100657505750.545,1936.25075454374,62.675,71.4927139282227,36110.9,6.34481849808483,19446.8,1753.08,25.53293999,247.683116421452
LBR,Liberia,Western Africa,5087584,2650072,52.089,2437512,47.911,3039982500,597.529691893048,60.948,27.5597496032715,76174.4,79.0847176079734,1179.5,12.07,27.95308059,6.0932654871153
LBY,Libya,Northern Africa,6653942,5369132,80.691,1284810,19.309,46808208746.0839,7034.65836433258,72.472,69.3682632446289,2170,0.123327687918433,44467,247.41,,765.410939860913
LSO,Lesotho,Southern Africa,2254100,654320,29.028,1599780,70.972,2067813018.99465,917.356381258442,54.693,47.497013092041,345.2,1.13702239789196,2311.9,35.94,42.85616632,66.5454061487955
MAR,Morocco,Northern Africa,36688772,23309111,63.532,13379661,36.468,121353645057.144,3258.26904296875,73.92,100,57424.9,12.8668832623796,66719.5,6452.54,84.12036305,442.069851779177
MDG,Madagascar,Eastern Africa,28225177,10876290,38.534,17348887,61.466,13051441203.9474,462.404228818383,65.182,32,124298.1,21.3644035751117,2745.45,163.25,13.71677775,10.1327973957435
MLI,Mali,Western Africa,21224040,9319264,43.909,11904776,56.091,17465392764.3706,822.906136832132,58.633,50.6440658569336,132960,10.896663634352,4150.7,98.9,27.85653831,10.2242551370993
MOZ,Mozambique,Eastern Africa,31178239,11559020,37.074,19619219,62.926,14235420505.2904,456.581928995106,61.172,30.6123828887939,367437.6,46.7251964699,6945.5,173.37,16.31226657,29.4436128993687
MRT,Mauritania,Western Africa,4498604,2488943,55.327,2009661,44.673,8260752385.23089,1836.29241098592,64.532,45.4,3128,0.303483069758417,3847.1,20.9,53.51699827,14.4489268226321
MUS,Mauritius,Eastern Africa,1266014,516027,40.76,749987,59.24,11408106446.3144,9011.04288445024,74.1770731707317,99.4640197753906,387.7,19.4141211817727,3720.2,198.76,64.88490358,914.681828163038
MWI,Malawi,Eastern Africa,19377061,3376840,17.427,16000221,82.573,12056108778.3125,622.184591270706,63.717,11.5,22417,23.7770470937633,1640,292.24,18.92676996,16.7208019833348
NAM,Namibia,Southern Africa,2489098,1295152,52.033,1193946,47.967,10583748541.5258,4252.04172014353,62.829,52.3,66389,8.06386570953127,3952.8,198.74,48.76420428,218.553066211133
NER,Niger,Western Africa,24333639,4045711,16.626,20287928,83.374,13744653102.9945,564.841662317524,61.451,18.7219104766846,10797,0.852372305991948,2197.95,63.65,21.46379477,1.43833809649268
NGA,Nigeria,Western Africa,208327405,108242753,51.958,100084652,48.042,432198898221.967,2074.61374667422,52.887,55.4,216269.5,23.7457865322749,111978.1,7899.95,51.45837417,73.1636819457335
