id,name,region,pop,urb,urbpct,rural,ruralpct,gdp,gdppc,esp,elec,forest,forestpct,co2,articles,internet,servers
RWA,Rwanda,Eastern Africa,13146362,2291674,17.432,10854688,82.568,10172303393.0612,773.773260850509,66.774,45.1901092529297,2760,11.1876773408999,1382,263.99,23.8,80.7067384878037
SAH,Western Sahara,Northern Africa,,,,,,,,,,,,,,,
SDN,Sudan,Northern Africa,44440486,15666605,35.253,28773881,64.747,27034593750,608.33251953125,65.614,59.6956977844238,183595.5,9.82845289079229,20796.1,378.39,28.4,6.34556516776167
SEN,Senegal,Western Africa,16436120,7909390,48.122,8526730,51.878,24530513037.7518,1492.47590293523,68.006,64.3,80681.6,41.9059886770893,10680.2,395.73,47.17942509,26.8311499307622
SLE,Sierra Leone,Western Africa,8233970,3534267,42.923,4699703,57.077,4062906265.7332,493.432240551423,59.763,26.3106842041016,25348.8,35.1188694929343,1048,65.14,18,6.31530112448794
SOM,Somalia,Eastern Africa,16537016,7630345,46.141,8906671,53.859,9204140383.17507,556.578066029269,55.967,49.8635635375977,59800,9.53231102751299,660.4,32.73,,4.29339851881379
SSD,South Sudan,Eastern Africa,10606227,2142352,20.199,8463875,79.801,,,55.48,7.2609338760376,71570,11.3256215087114,1742.7,14.27,6.5,4.33707481463484
STP,Sao Tome and Principe,Middle Africa,218641,162568,74.354,56073,25.646,471229484.607144,2155.26586782508,67.785,76.813606262207,519,54.0625,141.1,2.09,40.31067242,32.015953092055
SWZ,Swaziland,Southern Africa,1180655,285376,24.171,895279,75.829,3982236692.55236,3372.90461019719,59.692,79.9933624267578,4975.6,28.9279069767442,1147.7,32.94,56.42093688,108.414397093139
SYC,Seychelles,Eastern Africa,98462,56661,57.546,41801,42.454,1183515314.03478,12020.021064317,77.2365853658537,100,337,73.2608695652174,598.7,32.82,75.46919577,61109.8697974853
TCD,Chad,Middle Africa,16644701,3914834,23.52,12729867,76.48,10715396042.3343,643.772215694009,52.777,10.8656768798828,43130,3.42519059720457,1568.4,14.07,11.66019198,1.26166279586518
TGO,Togo,Western Africa,8442580,3613424,42.8,4829156,57.2,7486031561.86885,886.699511508194,61.035,54.1275978088379,12092.7,22.2333149476007,2415.1,86.33,29.07583302,25.9399377915282
TUN,Tunisia,Northern Africa,12161723,8460667,69.568,3701056,30.432,42538289933.2162,3497.71902658991,75.292,99.9,7027.3,4.52323635427395,29293,5164.88,72.80748713,319.198192558735
TZA,Tanzania,Eastern Africa,61704518,21736651,35.227,39967867,64.773,66068737786.0639,1104.16442871094,66.408,39.9,457450,51.642582975841,14435.5,896.7,23.44750876,36.9664989523134
UGA,Uganda,Eastern Africa,44404611,11080727,24.954,33323884,75.046,37605430214.3519,846.881199214917,62.851,42.139476776123,23379,11.6591861160981,5674.6,934.01,6.1,35.4242490717912
ZAF,South Africa,Southern Africa,58801927,39605450,67.354,19196477,32.646,338291396025.956,5753.06649433369,65.252,90,170500.9,14.055090718743,393241.6,15884.53,70.32030996,14546.1049261192
ZMB,Zambia,Eastern Africa,18927715,8447250,44.629,10480465,55.371,18110638269.2238,956.831728987032,62.38,44.6040687561035,448140.3,60.283337144702,7607.1,263.09,18.05191463,39.3602714326584
ZWE,Zimbabwe,Eastern Africa,15669666,5052214,32.242,10617452,67.758,21509698406.6618,1372.69667436829,61.124,52.7476674999602,174445.8,45.0939123691353,8312.5,480.16,29.29856532,70.646049507373
